dataset:cora, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.8549477566072525 
dataset:citeseer, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.753006012024048 
dataset:pubmed, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.8591108857336037 
dataset:Computers, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.6912263693650025 
dataset:Photo, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.8364547038327527 
dataset:chameleon, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.5852231163130944 
dataset:squirrel, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.35757769945530277 
dataset:cornell, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.3760683760683761 
dataset:texas, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.6153846153846154 
dataset:wisconsin, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.2, meanmicro:0.37748344370860926 
dataset:cora, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.844162704701532 
dataset:citeseer, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.7268439108061749 
dataset:pubmed, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.8516264580163734 
dataset:Computers, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.6997505716067345 
dataset:Photo, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.8415545590433483 
dataset:chameleon, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.5314070351758794 
dataset:squirrel, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.3683054106014831 
dataset:cornell, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.3798449612403101 
dataset:texas, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.6666666666666666 
dataset:wisconsin, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.1, meanmicro:0.4318181818181818 
dataset:cora, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.843426883308715 
dataset:citeseer, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.754501800720288 
dataset:pubmed, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.8601136133089876 
dataset:Computers, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.717284124524581 
dataset:Photo, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.8483263598326359 
dataset:chameleon, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.5690413368513633 
dataset:squirrel, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.34986543637062667 
dataset:cornell, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.594059405940594 
dataset:texas, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.6435643564356436 
dataset:wisconsin, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.3, meanmicro:0.5877862595419847 
dataset:cora, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.8501387604070305 
dataset:citeseer, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.7669172932330828 
dataset:pubmed, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.8527957398250287 
dataset:Computers, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.8099547511312217 
dataset:Photo, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.8663682864450128 
dataset:chameleon, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.5614035087719298 
dataset:squirrel, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.3339740509370495 
dataset:cornell, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.5058823529411764 
dataset:texas, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.5882352941176471 
dataset:wisconsin, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.4, meanmicro:0.5855855855855856 
dataset:cora, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.8405797101449275 
dataset:citeseer, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.7936821322803553 
dataset:pubmed, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.8586883029073699 
dataset:Computers, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.8264823572208075 
dataset:Photo, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.8765673981191222 
dataset:chameleon, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.5806451612903226 
dataset:squirrel, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.3318385650224215 
dataset:cornell, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.4794520547945205 
dataset:texas, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.6438356164383561 
dataset:wisconsin, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.5, meanmicro:0.5473684210526316 
dataset:cora, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.8637110016420361 
dataset:citeseer, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.8062755798090041 
dataset:pubmed, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.8555133079847909 
dataset:Computers, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.8271784232365145 
dataset:Photo, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.875 
dataset:chameleon, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.6105032822757112 
dataset:squirrel, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.3227665706051873 
dataset:cornell, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.819672131147541 
dataset:texas, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.6065573770491803 
dataset:wisconsin, hidden:64, lr:0.005, hop:2, belta:0.0005, train_rate:0.6, meanmicro:0.65 
